Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
2022,"John Means","BAL",0,0,0,2,2,8,7.875,2.25,0,0.32,0.7,0.4,0,92.27661561129386,3.375,,2.112431001663208,3.777846581116319,0.3328082263469696,"John Means",16269,607644
2021,"José Ureña","DET",4,8,0,26,18,100.2,5.990066830471299,3.7549672668626055,1.2516557556208685,0.3191489361702128,0.65337001,0.520467836,0.147368421,94.45281749463264,5.811258865382604,,5.017716428383562,4.87481312280989,0.332089439034462,"Jose Urena",11589,570632
2020,"Richard Bleier","- - -",1,1,0,21,0,16.2,5.940003965380455,2.160001441956529,0,0.27450980392156865,0.68421053,0.72,0,90.44446411132813,2.160001441956529,,2.7714190349576993,3.1185099743852254,0.33156537264585495,"Richard Bleier",7803,542947
2022,"Brett Martin","TEX",1,7,3,55,1,50,7.200001647949596,3.240000741577318,0.7200001647949595,0.30666666666666664,0.65705128,0.506578947,0.097560975,93.64239501953125,4.140000947571018,,3.6324311206817894,3.806334071730839,0.3309403993189335,"Brett Martin",17369,656685
2021,"JT Chargois","- - -",6,1,0,56,0,53.2,8.888200126631384,3.3540377836344843,0.8385094459086211,0.25,0.84210526,0.445255474,0.098039215,95.89151611328126,2.515528337725863,,3.8594752224363518,4.324987128714024,0.33085745573043823,"JT Chargois",13767,608638
2022,"Colin Holderman","- - -",5,0,0,24,0,28.1,7.6235305237029225,4.447059472160038,0,0.2631578947368421,0.63157895,0.453333333,0,96.86700948079427,3.8117652618514613,,3.324195738432734,4.787149245136903,0.33058546856045723,"Colin Holderman",22361,670059
2019,"Stefan Crichton","ARI",1,0,0,28,0,30.1,9.791214126997042,2.373627667150798,0.8901103751815493,0.2597402597402597,0.72916667,0.525,0.12,93.9539794921875,3.5604415007261974,,3.312910628505958,3.666651932779593,0.3302612900733948,"Stefan Crichton",16058,592233
2019,"Nick Burdi","PIT",2,1,0,11,0,8.2,17.65384939154284,3.1153851867428535,1.0384617289142846,0.5263157894736842,0.3968254,0.2,0.1,96.88996039496527,9.34615556022856,,1.8293938371556286,2.624631539101246,0.3302586078643799,"Nick Burdi",16074,595897
2020,"Matt Andriese","LAA",2,4,2,16,1,32,9.281246646192205,3.0937488820640686,1.4062494918473039,0.21052631578947367,0.61538462,0.456790123,0.166666666,92.01602703592052,4.499998373911373,,4.28516892010826,4.061683103570389,0.32961174845695496,"Matt Andriese",12022,542882
2023,"John Brebbia","SFG",3,5,0,40,10,38.1,11.034784896432814,3.286957203192753,1.4086959442254656,0.26595744680851063,0.6557377,0.29,0.111111111,94.43238722278225,3.991305175305486,,3.933301369679702,4.2275882492994,0.32957208156585693,"John Brebbia",12777,605154
